C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,label
1,22,4,0,12816,1,5,4,4,1,3,3,29,3,2,2,3,2,2,2,1
4,16,2,3,15832,5,5,4,3,1,2,3,34,3,2,1,3,2,1,2,1
4,37,4,3,26736,5,5,4,3,1,2,3,50,3,2,1,3,2,2,2,1
2,19,2,0,46928,2,3,2,3,1,2,3,29,3,2,2,3,2,2,2,1
1,13,2,0,29208,4,3,1,3,1,3,2,30,3,2,1,3,1,1,2,1
4,25,4,1,18768,1,4,4,3,1,3,3,34,3,2,2,3,2,2,2,1
4,37,3,3,35632,1,3,4,2,1,4,1,33,3,2,2,3,2,1,2,1
1,7,4,0,5328,4,4,3,2,1,4,1,38,3,2,2,2,2,2,2,1
2,25,3,0,15720,5,3,4,2,1,4,3,41,3,1,2,3,2,2,2,1
2,13,4,0,15960,2,2,4,3,1,1,3,26,3,2,1,3,2,1,2,1
2,31,2,3,23928,5,5,2,2,1,4,3,24,3,2,1,3,2,1,2,1
2,31,0,9,33768,1,3,2,2,1,1,3,27,3,2,2,3,2,1,2,1
1,10,2,3,10912,1,4,3,3,1,4,1,58,3,2,1,3,2,1,2,1
2,19,4,2,50888,1,5,2,3,1,1,4,40,3,2,1,3,2,2,2,1
2,13,4,3,28584,1,3,1,2,1,1,1,22,3,2,1,2,2,1,2,1
2,37,3,9,35640,1,3,2,1,1,2,1,29,2,2,2,4,2,2,2,0
1,10,2,2,17088,1,3,3,3,1,2,1,24,3,2,1,3,2,1,2,1
2,43,4,9,47632,1,4,2,2,1,1,1,40,1,2,2,2,2,1,2,1
4,25,4,2,30216,4,3,4,3,1,4,1,39,3,2,1,3,2,2,2,1
2,25,3,9,37696,5,3,4,3,1,2,2,33,1,2,2,4,2,2,2,1
2,37,3,0,59456,1,3,2,2,1,2,2,53,3,1,1,3,2,1,2,1
4,25,4,3,14808,1,4,4,4,3,2,3,32,3,2,2,3,2,2,2,1
4,13,4,9,11296,1,3,4,2,3,2,1,28,3,2,2,4,2,2,2,1
4,19,2,3,11784,1,2,3,4,1,4,1,38,3,2,1,3,2,2,2,1
4,25,2,3,12264,1,2,4,2,1,3,3,37,2,2,1,3,2,2,2,1
1,16,2,0,31672,1,3,3,2,1,2,2,28,3,2,1,3,2,2,2,0
1,7,2,2,3424,1,5,2,2,1,1,2,48,1,2,1,3,2,2,2,1
2,13,4,0,18928,3,4,3,1,1,3,3,35,3,2,1,4,2,2,2,1
4,13,2,2,6104,1,3,4,2,1,1,1,25,3,2,1,3,2,2,2,1
2,19,2,0,50080,1,4,3,3,1,3,1,27,3,1,1,2,2,1,2,1
4,25,2,1,20824,4,3,2,2,1,4,3,27,3,1,1,3,2,2,2,1
4,10,4,6,7488,3,5,4,3,1,2,3,51,3,2,2,3,2,2,2,1
4,25,2,2,24496,3,5,4,3,1,3,4,31,3,1,1,3,2,2,2,1
2,37,2,3,38360,1,2,4,2,1,1,4,29,3,2,1,4,2,2,2,1
4,37,4,1,46736,1,5,2,3,1,2,2,34,3,2,2,3,1,2,2,1
2,7,2,3,16504,1,2,4,4,1,3,3,29,3,1,1,4,2,2,2,1
4,16,2,3,9704,3,5,4,3,1,3,2,46,2,2,1,3,2,2,2,1
4,25,4,3,40824,1,2,3,4,1,3,4,46,3,3,3,3,2,2,2,1
4,16,2,4,6992,5,2,4,2,1,1,1,23,3,2,1,3,2,1,2,1
4,7,2,2,23824,3,3,1,3,1,2,3,31,3,2,1,3,2,2,2,1
4,19,2,0,14560,1,3,2,4,1,2,2,29,3,2,1,4,2,2,2,1
4,19,2,2,20120,1,3,3,3,1,4,1,42,3,2,1,3,2,2,2,1
4,19,2,3,11624,1,2,3,2,1,1,1,25,3,2,1,3,2,1,2,1
4,11,2,0,10912,1,3,2,2,1,4,3,63,3,2,1,3,2,2,2,1
4,7,2,2,12344,4,3,4,1,1,2,1,32,3,2,1,3,2,1,2,1
2,13,2,0,10544,4,5,4,3,1,4,1,53,3,2,1,3,2,2,2,1
1,25,1,0,18600,2,4,2,3,1,3,3,31,1,2,1,3,2,1,2,1
2,7,4,8,7456,5,4,1,2,1,3,2,38,3,2,2,2,2,1,2,1
3,25,4,3,25184,5,3,3,3,1,2,3,30,3,2,2,3,2,2,2,1
4,37,2,3,30680,5,5,2,2,1,4,1,44,3,2,1,2,2,2,2,1
4,10,2,6,30656,5,5,1,3,1,4,1,63,3,2,1,2,2,1,2,1
4,10,4,2,19248,1,1,2,3,1,3,3,30,3,2,1,4,2,1,2,1
4,37,2,3,19152,5,3,4,2,1,4,3,24,3,2,1,3,2,1,2,1
4,22,2,1,19808,5,5,4,3,1,4,1,45,3,2,1,4,2,2,2,1
1,25,2,1,23712,5,5,4,3,1,4,4,48,1,3,1,3,1,2,2,1
1,13,2,2,10096,5,5,2,1,1,4,2,48,3,2,1,2,2,2,2,1
4,13,2,9,12336,1,4,2,3,1,4,3,35,3,2,1,3,2,2,2,1
2,25,4,3,13944,1,5,4,3,1,2,2,47,3,2,2,2,2,1,2,1
3,13,1,3,3272,4,3,3,2,1,3,1,41,3,1,2,3,2,1,2,1
4,13,2,3,17368,1,2,2,2,1,2,3,28,1,2,1,3,2,1,2,1
4,49,4,1,70864,5,4,2,3,1,1,4,34,3,3,2,3,2,2,2,1
2,25,2,0,28096,2,4,2,3,1,3,3,37,1,2,2,3,2,2,2,1
1,13,2,3,11984,1,3,4,2,1,1,3,22,1,2,1,3,2,1,2,1
2,49,1,9,51328,1,5,4,2,1,3,4,58,3,1,1,3,2,1,2,0
4,13,4,3,10328,1,3,4,2,1,2,2,34,3,2,2,3,2,1,2,1
3,25,4,9,10200,4,3,2,1,1,4,1,35,3,2,2,3,2,2,2,1
4,25,2,2,31776,1,4,2,2,1,4,2,24,3,1,1,3,2,2,2,1
4,16,4,2,26744,1,3,4,3,1,2,4,27,3,3,1,3,2,2,2,1
3,16,2,6,3136,1,2,4,2,1,4,2,22,3,1,1,3,2,2,2,1
4,31,4,3,46168,1,4,4,2,1,2,3,24,3,2,2,3,2,1,2,1
4,25,4,9,36208,1,3,3,3,1,2,1,73,3,2,1,4,2,2,2,1
4,16,4,2,22304,1,4,2,2,2,3,3,23,1,2,2,3,2,1,2,1
4,7,4,3,11056,1,3,1,2,1,1,3,27,3,2,2,3,2,2,2,1
3,37,2,3,46784,1,3,4,3,1,1,3,23,3,2,1,3,2,1,2,1
1,13,2,0,9824,1,3,4,2,1,2,1,23,3,2,1,2,2,1,2,0
4,25,2,3,12416,1,4,3,3,1,1,3,31,1,2,1,3,1,1,2,1
4,25,2,3,25880,3,5,3,1,1,2,3,35,3,2,1,4,2,2,2,1
4,25,4,9,33112,2,3,3,3,1,3,2,26,3,2,2,2,2,2,2,1
2,13,4,1,14432,2,2,3,3,1,4,2,43,3,2,1,3,2,1,2,1
4,19,2,9,15600,1,4,4,3,1,1,3,33,2,2,2,3,2,2,2,1
4,49,3,3,101992,3,4,4,3,1,1,3,36,3,2,1,4,2,2,2,1
4,19,4,0,8440,1,2,4,2,1,1,2,29,3,2,2,3,2,1,2,1
1,31,0,9,64576,5,2,2,3,1,3,3,24,1,2,3,3,2,1,2,1
4,31,4,3,22648,1,3,4,2,1,2,3,32,3,2,1,3,2,2,2,1
4,10,2,9,11592,1,4,3,2,1,2,3,26,3,2,2,3,2,1,2,1
4,13,2,0,19120,5,5,4,3,1,3,3,49,3,2,1,3,2,2,2,1
4,25,2,3,27440,3,5,3,3,1,2,3,30,3,2,1,3,1,2,2,1
2,37,2,6,18184,1,4,3,3,1,1,3,31,3,2,2,3,1,1,2,1
2,37,2,6,29688,5,3,2,4,1,2,3,26,3,2,1,3,2,1,2,1
2,49,2,0,67896,5,4,1,2,1,2,3,23,3,2,1,3,2,1,2,1
4,25,2,0,18040,5,2,4,3,1,1,2,53,3,2,1,3,2,1,2,1
4,13,2,3,10096,1,3,3,3,1,2,3,24,3,2,1,3,2,1,2,1
4,34,4,1,58024,1,4,3,3,1,2,3,34,3,2,2,4,2,2,2,1
4,7,4,0,54088,1,4,1,3,1,3,4,44,3,2,2,4,1,2,2,1
4,19,4,2,14536,1,3,4,2,1,2,4,27,3,2,2,3,2,1,2,1
4,13,2,3,17128,2,4,3,3,1,1,4,34,3,2,1,3,2,1,2,1
4,49,1,9,28872,1,3,1,2,1,1,1,26,2,2,1,3,2,1,2,1
4,31,2,3,18664,3,5,4,3,1,2,3,29,1,2,1,4,2,1,2,1
3,19,1,3,11560,5,4,4,3,1,4,3,48,1,2,1,2,2,1,2,1
1,25,2,2,61768,5,2,1,2,1,2,2,29,3,2,1,3,2,2,1,1
2,19,2,9,35512,1,5,1,3,2,1,1,32,1,2,1,4,2,2,2,1
1,13,2,3,8856,1,3,2,3,1,2,1,19,3,1,1,4,1,2,2,1
2,16,2,3,11552,5,2,4,3,1,1,2,22,3,2,1,3,2,1,2,1
2,49,1,0,97352,5,1,4,3,2,4,4,35,3,3,1,4,2,2,2,1
3,5,2,0,11952,5,2,1,3,1,2,1,28,3,2,1,2,1,1,1,1
1,25,1,2,22624,3,3,4,3,1,4,1,21,2,2,1,3,2,2,2,1
1,25,1,2,19864,3,3,4,3,1,4,1,21,2,2,1,3,2,2,2,1
3,7,4,0,10392,1,3,1,3,1,1,1,73,3,2,3,1,1,1,1,1
2,10,2,0,12392,5,2,4,3,1,2,1,34,3,2,1,1,2,1,2,1
4,11,2,1,23208,5,2,1,2,1,4,1,30,3,1,1,3,2,1,2,1
3,7,2,0,5672,4,2,2,4,1,2,1,26,3,2,1,1,2,1,1,1
4,11,2,0,10296,5,5,4,3,2,2,2,44,3,2,1,2,2,1,1,1
3,31,4,3,29248,5,5,4,3,1,4,2,48,2,2,2,2,2,1,2,1
1,19,2,2,21272,4,3,4,3,1,2,3,27,3,2,1,3,2,1,2,1
4,25,4,3,12128,4,3,4,2,1,1,1,42,3,2,2,2,2,1,2,1
4,15,3,0,6416,1,3,4,3,1,2,3,26,3,2,2,2,2,1,2,1
4,22,2,9,12576,4,5,4,2,1,4,1,35,1,2,1,2,2,1,2,1
2,49,1,9,28528,2,4,4,3,1,2,3,29,3,2,1,3,2,1,2,1
4,25,2,3,10224,1,5,4,3,1,1,1,35,3,2,1,4,2,2,2,1
4,7,0,3,3408,1,5,4,4,1,4,3,38,3,2,1,2,2,1,2,1
4,40,2,1,68704,2,5,4,3,1,2,3,44,3,2,1,4,2,2,2,1
1,31,2,1,30856,1,3,4,1,1,4,2,39,3,2,1,4,2,2,2,1
2,13,2,0,5480,1,4,2,4,1,3,3,24,1,2,1,2,2,1,2,0
1,25,2,3,12824,1,5,4,2,1,4,3,54,3,2,1,3,2,1,2,1
1,25,2,3,19072,1,5,4,3,1,4,1,63,1,1,1,2,2,1,2,1
4,40,2,1,20552,3,3,4,3,1,4,3,23,3,2,1,3,2,1,2,1
4,16,4,3,10528,3,3,2,4,1,2,2,46,3,2,2,2,2,1,2,1
4,61,2,0,82928,1,5,2,3,1,4,2,41,3,2,1,4,2,2,2,1
4,19,2,9,12544,2,3,3,2,1,4,2,23,3,1,1,2,2,1,2,1
4,19,4,3,5032,3,5,4,3,1,3,2,31,1,2,2,4,2,2,2,1
4,25,2,1,27904,2,4,3,2,1,4,3,22,3,2,1,3,2,1,2,1
4,19,4,3,14400,1,3,4,3,1,2,3,23,3,2,2,3,2,1,2,1
4,25,3,2,33208,2,3,2,3,1,3,2,34,3,2,2,3,2,1,2,1
2,16,2,5,21048,2,3,3,2,1,2,1,24,3,2,1,2,2,1,2,1
4,22,2,1,41984,5,3,1,3,1,3,3,25,3,2,1,3,2,1,2,1
2,19,3,0,23192,5,5,4,3,1,4,3,42,3,2,1,3,1,1,2,1
4,13,2,3,6432,1,5,4,3,1,4,3,37,3,2,1,3,2,1,2,1
4,37,2,3,28760,1,5,4,3,1,2,3,27,3,2,1,3,2,1,2,1
4,37,4,1,45688,4,5,4,3,1,2,3,37,3,2,2,4,2,2,2,1
3,16,2,9,21496,1,4,2,3,1,4,2,25,3,1,1,3,2,2,2,1
1,16,3,2,29144,1,5,1,2,1,4,2,26,3,2,2,2,2,1,2,1
4,11,4,2,17168,1,2,1,2,1,3,1,22,3,1,2,3,2,1,2,1
1,11,2,3,18520,1,5,3,3,1,4,1,51,3,2,1,2,2,1,2,1
4,6,2,9,27584,1,4,1,3,1,4,1,73,3,2,1,2,2,1,2,1
4,16,2,2,21664,1,2,2,3,1,3,2,26,1,2,2,2,2,1,2,1
4,12,4,0,11144,1,2,4,2,1,4,3,34,3,2,2,4,2,1,2,1
3,11,2,2,10200,1,2,4,2,1,2,2,22,3,2,1,3,2,1,2,1
4,13,2,3,11944,1,2,4,2,1,3,3,33,3,2,1,3,1,1,2,1
4,23,2,3,21400,3,5,3,3,1,4,3,39,3,2,1,3,2,1,2,1
4,37,2,0,7272,3,5,4,3,1,4,2,35,3,2,1,3,2,1,2,1
4,13,4,2,10064,1,2,2,2,1,4,2,21,3,1,2,2,2,1,2,1
4,16,1,3,12552,2,5,4,3,1,4,3,33,1,2,1,2,1,1,2,1
4,7,2,1,9888,3,3,2,3,1,4,2,49,3,1,1,3,2,1,2,1
4,37,3,2,61424,3,4,2,2,1,4,3,39,3,2,2,3,2,2,2,1
4,25,2,2,22680,3,5,3,3,1,4,2,52,3,2,1,3,2,1,2,1
4,25,2,1,21360,1,5,4,3,1,4,3,34,3,2,1,4,2,2,2,1
4,13,1,8,27576,3,3,4,2,1,3,1,34,3,2,1,2,1,1,2,1
4,16,2,3,28544,1,5,4,2,1,2,3,53,1,1,1,4,2,2,2,1
2,22,4,9,29216,1,4,2,3,1,3,2,26,3,2,2,3,2,1,2,1
1,25,2,3,29280,1,3,2,2,1,4,3,27,3,2,1,3,2,1,2,1
3,10,2,3,9008,2,5,2,1,1,4,1,48,3,2,1,3,2,1,2,1
3,7,3,3,5464,1,2,2,2,1,1,2,28,1,2,1,3,2,1,2,1
3,13,2,2,18008,1,3,1,2,1,2,3,45,3,2,1,2,2,1,2,1
4,13,2,1,37400,5,2,1,2,1,4,3,19,3,1,1,3,2,1,2,1
2,22,3,0,18824,1,3,1,1,1,4,2,46,3,2,2,3,2,1,2,1
1,22,2,3,26856,4,2,4,2,1,2,3,28,1,2,1,3,2,1,2,1
4,7,2,0,5376,1,1,1,2,1,4,1,53,3,2,1,1,2,2,2,1
1,7,4,3,2704,3,5,4,3,1,4,3,51,3,2,2,3,2,1,2,1
4,10,2,3,21576,1,3,1,3,1,2,1,31,3,2,1,3,1,1,2,1
4,10,2,0,20056,3,5,2,3,1,4,4,50,3,3,1,2,2,1,2,1
4,16,3,3,11824,1,3,4,4,1,3,1,32,1,2,2,3,2,1,2,1
4,13,4,6,28520,5,2,2,3,1,1,2,36,3,2,2,2,1,1,2,1
4,7,4,3,15184,5,3,1,3,1,2,1,33,3,2,2,2,1,1,2,1
2,7,3,9,11592,2,5,1,1,1,2,3,30,1,2,2,3,1,1,2,1
4,16,3,2,7680,4,4,3,2,1,2,2,29,3,2,2,3,2,1,2,1
4,37,2,1,65064,1,3,1,2,1,2,2,29,1,2,1,3,2,1,2,1
4,10,2,2,18408,2,2,2,2,1,4,2,21,3,1,1,3,2,1,2,1
4,7,3,9,13944,2,3,1,3,1,2,1,33,3,2,2,2,2,1,2,1
2,13,2,2,7864,4,2,1,2,1,4,1,18,3,1,1,2,2,1,2,1
4,19,3,3,18560,1,1,2,4,1,3,1,33,3,2,2,3,2,1,2,1
1,13,1,8,2712,1,5,4,4,1,1,3,44,1,2,1,2,2,1,2,1
3,25,2,3,41216,1,4,4,3,1,2,3,24,1,2,1,3,2,1,2,1
3,25,2,2,29992,1,2,2,2,1,4,3,25,3,2,1,3,2,1,2,1
4,10,4,3,24592,5,3,1,3,1,2,1,32,3,2,2,3,1,1,2,1
1,7,2,2,10992,1,3,1,3,1,2,1,35,1,2,1,2,2,2,2,1
4,7,1,0,6264,5,3,1,3,3,2,1,25,2,2,1,2,1,1,2,1
1,22,2,3,20848,1,2,4,2,1,4,2,27,3,1,1,4,2,2,2,1
4,55,0,1,75488,5,3,2,3,1,2,2,38,3,2,1,2,1,1,2,1
4,13,4,3,7440,5,5,4,3,1,4,1,64,3,2,4,3,2,1,2,1
4,7,4,0,2000,4,3,2,2,1,2,1,40,1,2,2,2,2,1,2,1
2,25,2,0,9608,1,2,4,3,1,1,2,25,3,2,1,3,2,1,2,1
4,16,2,1,10400,5,5,4,3,1,4,4,44,1,3,1,3,1,1,2,1
4,25,1,9,12472,1,4,4,3,1,4,3,39,1,2,1,3,2,2,2,1
4,7,0,0,9632,2,3,4,3,1,1,4,34,1,1,1,3,2,1,1,1
4,11,2,0,12776,3,3,3,3,1,2,4,39,3,1,1,2,1,1,1,1
4,13,2,3,16584,2,3,4,2,2,2,1,27,3,2,1,3,2,1,2,1
4,12,2,9,17136,4,5,1,1,1,2,1,27,3,2,1,3,2,2,2,1
4,11,2,0,12368,1,3,3,3,1,2,1,30,3,2,1,2,1,1,1,1
4,25,4,0,10296,4,5,4,2,1,4,1,36,3,2,2,3,2,2,2,1
4,11,2,0,11344,2,3,3,3,1,2,1,34,3,1,1,2,2,1,1,1
3,7,4,0,10744,1,5,1,3,1,4,1,45,3,2,2,3,1,1,1,1
4,19,2,0,21296,5,4,4,3,1,3,2,31,3,2,1,3,2,1,1,1
4,19,4,3,48560,1,5,3,3,1,4,3,32,3,2,2,3,2,2,2,1
4,19,4,3,19232,1,3,2,2,1,2,3,25,3,2,2,3,2,1,2,1
4,7,4,3,12432,1,4,1,2,1,2,3,23,3,1,2,3,2,2,2,1
4,23,2,0,10264,5,4,4,2,1,4,2,24,3,1,1,3,2,1,2,1
4,25,3,0,5736,5,5,4,4,1,4,3,53,3,2,2,3,2,2,2,1
1,25,2,2,13976,1,2,4,3,2,1,2,23,3,2,1,2,2,1,1,1
1,10,4,5,10304,2,5,3,3,3,4,1,47,3,2,2,3,1,1,1,1
1,11,4,0,8304,1,4,4,3,2,3,2,48,3,2,2,3,2,2,2,1
4,13,2,1,11304,4,4,3,3,1,2,2,54,3,2,1,3,2,1,1,1
4,31,4,3,24616,5,5,3,3,1,2,3,39,3,2,2,3,1,2,2,1
4,19,4,1,25832,5,1,2,3,1,4,4,37,3,2,1,4,2,2,2,1
4,13,4,0,5456,2,4,4,2,1,3,3,50,3,2,2,3,2,2,2,1
4,11,2,3,15392,1,3,1,3,1,4,2,37,3,2,1,3,2,2,1,1
4,11,2,6,5816,3,5,4,3,1,4,4,45,3,3,1,3,2,2,2,1
3,11,4,0,6248,1,5,4,3,1,4,4,62,3,3,2,3,2,2,2,1
1,13,4,0,16968,1,3,4,3,1,2,2,29,3,2,2,3,2,1,2,1
4,13,4,6,5608,1,3,4,3,1,2,3,31,3,2,2,3,2,1,2,1
4,11,4,2,16552,5,3,2,4,1,1,3,25,3,2,2,3,2,1,1,1
4,25,2,0,12200,4,4,4,2,1,3,3,33,3,2,1,3,1,2,2,1
4,49,4,9,61032,5,5,4,1,1,2,3,45,1,2,2,4,1,1,2,1
1,13,4,0,27992,1,3,3,2,2,2,1,28,3,2,2,3,2,1,2,0
4,7,2,3,10768,2,5,2,3,1,4,4,41,1,3,1,3,1,2,2,1
4,37,4,1,83816,5,5,2,3,1,4,4,41,3,3,2,3,2,1,2,1
4,16,4,0,40360,5,5,1,2,1,4,3,58,3,2,1,3,2,2,2,1
1,13,2,2,14864,1,2,4,2,1,1,3,21,3,1,1,3,2,1,2,1
4,7,4,2,9768,5,3,1,4,1,2,2,26,3,2,2,3,2,1,2,1
4,10,2,2,11104,1,3,4,2,1,2,1,25,3,1,1,3,2,1,2,1
4,13,2,3,18232,5,3,4,3,1,4,4,36,3,3,1,3,2,2,2,1
3,25,2,3,10064,3,3,3,2,1,3,3,56,3,2,1,2,2,1,2,1
2,13,0,8,11280,1,3,2,3,1,2,1,30,3,2,1,2,2,2,2,1
1,16,2,0,11224,1,3,2,2,1,4,3,27,3,1,1,3,2,1,2,1
4,25,4,3,20624,4,5,2,3,1,2,3,33,3,2,1,3,2,1,2,1
1,7,2,4,2744,1,2,4,2,1,1,1,26,3,2,1,3,2,1,2,1
4,22,3,2,12728,2,4,4,3,1,3,1,33,3,2,2,4,2,1,2,1
1,28,2,3,27328,1,3,3,3,1,2,3,26,3,2,1,4,2,1,2,1
1,13,0,5,8864,1,4,4,3,1,3,1,27,3,2,2,3,2,1,2,0
2,28,3,1,47720,1,5,1,3,1,2,3,29,3,2,2,4,2,2,2,1
2,16,2,5,12112,2,3,4,3,3,2,1,21,3,2,1,3,2,1,2,1
4,31,4,3,53936,5,4,2,3,1,3,2,35,3,2,2,3,2,1,2,1
1,19,2,2,29200,1,2,1,2,1,4,3,21,3,1,1,3,2,1,2,1
1,22,2,2,28792,1,4,1,2,1,4,3,25,3,1,1,2,2,1,2,1
4,43,4,2,32328,3,3,4,3,1,4,1,35,3,2,2,3,2,2,2,1
2,10,2,3,3664,1,3,4,3,1,3,1,23,3,2,1,3,2,1,2,1
2,10,2,2,7344,1,3,4,2,1,1,2,29,3,2,1,3,2,1,2,0
4,25,2,0,59144,1,3,1,3,1,4,2,42,3,2,1,2,1,1,2,1
3,11,2,4,9800,1,3,2,3,1,2,3,36,3,2,1,3,2,2,2,1
1,25,2,1,22496,5,5,2,2,1,4,1,25,3,1,1,3,2,1,2,1
4,16,2,1,24232,1,4,2,3,1,2,3,32,3,2,1,3,2,1,2,1
3,13,4,0,11840,3,1,2,3,1,4,4,65,1,3,3,1,2,1,2,1
3,7,4,6,8376,1,3,2,2,1,4,2,49,3,2,1,2,2,1,2,1
4,16,4,3,11768,1,3,4,3,1,4,4,34,3,3,2,3,2,2,2,1
4,25,2,2,44088,2,3,4,3,1,1,3,24,2,2,1,3,2,1,2,1
2,10,2,3,9648,1,5,4,2,1,4,1,24,3,2,1,3,2,1,2,1
2,25,3,3,51224,1,2,1,3,1,2,3,32,3,2,1,3,2,1,2,1
4,13,2,3,5656,1,3,4,3,1,2,1,29,1,2,2,3,2,1,2,1
4,13,3,1,12024,1,3,4,4,1,4,1,40,3,1,1,3,2,1,2,1
2,13,2,0,48624,1,4,2,3,1,2,3,31,3,2,1,3,2,1,2,1
